,mean,std,skew,kurt,autocorr,indicator
Normal,15.565687203791466,4.034495781647355,0.962354459370959,0.4278714918666524,0.8582827310703216,VIX
Pre-Crisis,20.813472222222224,5.209836892530844,0.30778977292809134,-0.516117221514909,0.6660526296861619,VIX
Crisis,29.919282700421938,11.210110028727751,1.2703016269541259,1.8080274344378928,0.858330750388558,VIX
Post-Crisis,23.404226804123706,4.667661985015345,-0.19005086250222142,-0.6978797420693827,0.6199562022562164,VIX
Normal,1732.871579778831,700.6644572426019,0.9609108011285276,0.38522376675488657,0.9982624719504207,MXUS
Pre-Crisis,1562.7535416666667,675.8322825507217,1.466617248924356,0.866177457618782,0.9828361061430989,MXUS
Crisis,1346.9916033755276,630.0951944934111,1.8130992781938764,2.4678343021497087,0.9814358513956386,MXUS
Post-Crisis,1486.5211340206185,681.009651002154,1.6416944282958197,1.8433967135966611,0.9809774234727537,MXUS
Normal,3.150865718799368,1.1383037552509916,0.23533564090698225,-0.999564043574305,0.9889715211952061,GT10
Pre-Crisis,3.716194444444444,1.5754536754869322,-0.2320434019688032,-0.7987818163455129,0.9846753324082617,GT10
Crisis,3.2545316455696205,1.501918497716321,0.16283236628909034,-0.8507951268777556,0.986675527358537,GT10
Post-Crisis,3.3855979381443295,1.5328639906220332,0.10219741957117547,-0.8437964887571412,0.9640679195328156,GT10
Normal,89.18854502369669,8.072089691773508,0.2497280478331958,0.0034074085415607414,0.9902853710618218,DXY
Pre-Crisis,93.49540277777777,15.21046191135941,0.2809346713974417,-1.338291147633682,0.9874204473704388,DXY
Crisis,93.18967088607594,13.999696967109184,0.3400182414547646,-1.2980613507488161,0.9877575508991864,DXY
Post-Crisis,93.02191752577318,13.9592241409803,0.4674510325589922,-1.0035240690945377,0.9737223575635884,DXY
Normal,1006.7062243285941,438.1898796860759,-0.2723571036302754,-1.2750236981232115,0.9974309600862821,XAUBGNL
Pre-Crisis,934.5534722222224,556.8589472784676,0.2116856653806465,-1.2473734470411038,0.9916344880088402,XAUBGNL
Crisis,976.5116455696201,568.7653558450696,0.10144243249433321,-1.435021386909399,0.994273708216232,XAUBGNL
Post-Crisis,967.1981443298969,547.9162632862835,0.10198904860017256,-1.2797972565732008,0.9867903278468408,XAUBGNL
