CrisisNumber,StartDate,EndDate,Duration
1,2000-02-08,2000-02-29,21
2,2000-04-25,2000-05-16,21
3,2000-09-12,2000-10-10,28
4,2000-11-14,2000-11-21,7
5,2000-12-05,2001-01-02,28
6,2001-02-06,2001-04-03,56
7,2001-06-05,2001-06-12,7
8,2001-06-26,2001-07-03,7
9,2001-08-21,2001-10-09,49
10,2001-10-23,2001-10-30,7
11,2002-01-22,2002-01-29,7
12,2002-04-16,2002-04-30,14
13,2002-05-28,2002-10-22,147
14,2003-01-21,2003-02-11,21
15,2003-03-04,2003-03-11,7
16,2006-05-30,2006-06-06,7
17,2007-07-31,2007-08-07,7
18,2007-11-06,2007-11-20,14
19,2007-12-25,2008-01-22,28
20,2008-06-17,2008-07-08,21
21,2008-08-26,2009-05-05,252
22,2009-06-23,2009-06-30,7
23,2010-01-26,2010-02-02,7
24,2010-05-04,2010-06-29,56
25,2010-08-10,2010-08-24,14
26,2011-05-24,2011-05-31,7
27,2011-07-19,2011-10-04,77
28,2011-10-25,2012-01-31,98
29,2012-04-03,2012-04-10,7
30,2012-05-08,2012-09-04,119
31,2012-10-30,2012-11-06,7
32,2014-09-30,2014-10-07,7
33,2015-08-11,2015-09-08,28
34,2015-12-29,2016-01-26,28
35,2018-10-09,2018-10-23,14
36,2018-12-11,2018-12-25,14
37,2020-02-11,2020-05-12,91
38,2020-06-09,2020-06-16,7
39,2020-08-25,2020-09-01,7
40,2020-09-15,2020-09-22,7
41,2020-10-20,2020-11-03,14
