indicator,can_be_negative
ECSURPUS,True
EONIA,True
GTDEM10Y,True
GTDEM2Y,True
GTDEM30Y,True
GTGBP2Y,True
GTITL2YR,True
GTJPY10YR,True
GTJPY2YR,True
USGG3M,True
BDIY,False
CRY,False
Cl1,False
DXY,False
EMUSTRUU,False
GBP,False
GT10,False
GTGBP20Y,False
GTGBP30Y,False
GTITL10YR,False
GTITL30YR,False
GTJPY30YR,False
JPY,False
LF94TRUU,False
LF98TRUU,False
LG30TRUU,False
LMBITR,False
LP01TREU,False
LUACTRUU,False
LUMSTRUU,False
MXBR,False
MXCN,False
MXEU,False
MXIN,False
MXJP,False
MXRU,False
MXUS,False
US0001M,False
USGG2YR,False
USGG30YR,False
VIX,False
XAUBGNL,False
