Data,BDIY,CRY,Cl1,DXY,ECSURPUS,EMUSTRUU,EONIA,GBP,GT10,GTDEM10Y,GTDEM2Y,GTDEM30Y,GTGBP20Y,GTGBP2Y,GTGBP30Y,GTITL10YR,GTITL2YR,GTITL30YR,GTJPY10YR,GTJPY2YR,GTJPY30YR,JPY,LF94TRUU,LF98TRUU,LG30TRUU,LMBITR,LP01TREU,LUACTRUU,LUMSTRUU,MXBR,MXCN,MXEU,MXIN,MXJP,MXRU,MXUS,US0001M,USGG2YR,USGG30YR,USGG3M,VIX,XAUBGNL,Y,Year,Period,BDIY_zscore,CRY_zscore,Cl1_zscore,DXY_zscore,ECSURPUS_zscore,EMUSTRUU_zscore,EONIA_zscore,GBP_zscore,GT10_zscore,GTDEM10Y_zscore,GTDEM2Y_zscore,GTDEM30Y_zscore,GTGBP20Y_zscore,GTGBP2Y_zscore,GTGBP30Y_zscore,GTITL10YR_zscore,GTITL2YR_zscore,GTITL30YR_zscore,GTJPY10YR_zscore,GTJPY2YR_zscore,GTJPY30YR_zscore,JPY_zscore,LF94TRUU_zscore,LF98TRUU_zscore,LG30TRUU_zscore,LMBITR_zscore,LP01TREU_zscore,LUACTRUU_zscore,LUMSTRUU_zscore,MXBR_zscore,MXCN_zscore,MXEU_zscore,MXIN_zscore,MXJP_zscore,MXRU_zscore,MXUS_zscore,US0001M_zscore,USGG2YR_zscore,USGG30YR_zscore,USGG3M_zscore,VIX_zscore,XAUBGNL_zscore
2000-03-07,1602,179.94,34.13,106.01,0.484,246.5223,3.28,1.5756,6.373,5.432,4.469,5.811,4.5634,6.2981,4.3289,5.705,4.683,6.1,1.792,0.423,2.174,106.1,122.0019,548.5,314.1491,479.7156,121.3944,1007.3,883.06,918.79,26.54,141.85,283.74,994.72,234.18,1319.95,5.95,6.486,6.145,5.834,24.31,292.0,0,2000,Normal,-0.38796319746404206,-1.090621721526219,-1.2023268949012567,1.78144218439297,1.2920158990262918,-1.684617530862582,1.4595582360088997,-0.025408169066222362,2.659946335938529,1.84285962102836,1.919018234310239,1.7870700215761903,0.9413714723069199,2.021458690079782,0.8073353500589483,1.818841172944216,2.011384657175635,1.7522975053166785,1.4715837146206814,1.0647392593235243,0.7232207773226668,-0.1482524305974604,-2.1260669971630914,-1.4193997320503184,-1.522433479767352,-1.8757149081356876,-1.1912825520978823,-1.7659968000181387,-2.0073825657154156,-1.10986818101166,-1.2073918752742727,1.6305131278490013,-1.1468894688691234,0.9441896516495003,-1.6945028728324,-0.5410949280663041,2.393133587049829,2.8658576344827864,2.159180438224616,2.577368405910979,1.57004360074571,-1.5624526195109243
2000-03-14,1645,175.67,31.69,105.2,0.488,247.6609,3.52,1.5751,6.292,5.359,4.5,5.754,4.6501,6.3293,4.4152,5.636,4.681,6.042,1.814,0.43,2.289,104.84,122.0019,547.91,314.5884,481.5416,121.4544,1004.17,882.52,868.24,27.35,138.6,253.36,943.05,263.28,1324.43,6.00375,6.468,6.09,5.886,24.41,289.6,0,2000,Normal,-0.3640671066365863,-1.1581581009463056,-1.3086432551184244,1.692982137018108,1.303844504574431,-1.6808186369102966,1.6162506180497793,-0.02765515419189058,2.5924253564696444,1.8017542515359755,1.9368442498930123,1.7536170729618445,1.00557164580563,2.0366107026025855,0.8758841343649502,1.7665122137991172,2.0100608713547814,1.701288510865613,1.504585177265235,1.0886664051434698,0.8763241928539081,-0.26567276751023344,-2.1260669971630914,-1.4204842785435985,-1.5212245389448218,-1.8678842783685365,-1.1907322868789985,-1.7707274297741988,-2.0087348157812923,-1.1669691594326828,-1.174448707936312,1.4624395863702973,-1.2212504417303585,0.6689470742951046,-1.5821653823974204,-0.534718847100496,2.4235334343981694,2.854534869225519,2.1081693861688047,2.608363010223503,1.590426488710419,-1.5677381954105298
2000-03-21,1624,171.25,28.0,105.81,0.566,249.9143,3.49,1.5721,6.135,5.221,4.421,5.564,4.5585,6.2924,4.3152,5.503,4.59,5.858,1.884,0.494,2.339,106.98,122.0019,546.84,315.4834,484.8225,121.1437,1010.44,887.03,905.21,25.74,139.93,238.15,987.77,249.45,1457.01,6.1125,6.502,5.969,5.918,21.7,290.83,0,2000,Normal,-0.37573729052906474,-1.2280669527113595,-1.4694249638075016,1.759600197386831,1.5345023127631432,-1.6733002567661903,1.5966640702946695,-0.04113706494590089,2.4615513592274856,1.7240482105777695,1.8914166617949772,1.6421072442473599,0.9377430887989195,2.018690533945808,0.7964533298388761,1.6656462490701585,1.9498286165059417,1.5394668732967152,1.6095898311342698,1.3074288812115422,0.9428908952587953,-0.06624457624568089,-2.1260669971630914,-1.4224511679466656,-1.5187615249767716,-1.8538144463843929,-1.193581743604118,-1.761251056428992,-1.9974410235644295,-1.125208067994004,-1.2399283368426293,1.5312204510369676,-1.2584798820601606,0.9071674741265071,-1.6355546433154882,-0.34602670101861366,2.4850401022889974,2.875922314711469,1.9959450716460199,2.627436612877364,1.0380502248668122,-1.5650293377619822
2000-05-23,1598,182.56,28.78,111.44,0.42,236.6527,3.79,1.4746,6.435,5.342,4.958,5.545,4.8351,6.2668,4.6116,5.743,5.151,6.033,1.716,0.314,2.326,106.78,124.358,535.5,303.8676,478.6553,117.0213,990.46,882.42,694.36,30.11,132.59,169.39,942.83,202.11,1337.55,6.61,6.788,6.16,5.938,25.87,274.15,0,2000,Normal,-0.39018608963403795,-1.0491825379007798,-1.4354385863610302,2.374452131609635,1.1027582102560662,-1.7175470616472943,1.7925295478457686,-0.4792991644512524,2.7116290609640945,1.7921817682295296,2.20020925430947,1.6309562613759112,1.1425616353934187,2.006258113414277,1.0318862344541608,1.847660020009633,2.3211505392553793,1.6933733220714826,1.357578661848586,0.6921594172700886,0.9255835526335247,-0.08488272496199448,-2.0923226786651985,-1.4432965191903862,-1.5507278687198758,-1.8802619052562302,-1.231388632576223,-1.7914484949357277,-2.0089852324601587,-1.3633829700725928,-1.0621979155254826,1.1516328219742944,-1.4267833874564253,0.6677751492512117,-1.8183057360024966,-0.5160460385577725,2.7664154335596827,3.055828473799171,2.1730925433307466,2.639357614536027,1.8880166529951665,-1.6017640902642405
2000-05-30,1569,184.89,30.35,108.93,0.336,240.9208,4.02,1.4957,6.376,5.241,4.924,5.464,4.6928,6.234,4.4573,5.603,5.11,5.913,1.716,0.333,2.191,106.47,124.358,531.96,305.0592,481.7892,115.2475,996.6,886.95,782.02,28.38,135.69,181.38,943.51,226.74,1379.85,6.615,6.731,6.092,5.764,23.62,273.35,0,2000,Normal,-0.40630205786650814,-1.0123301341422786,-1.3670301086803116,2.100335194682595,0.8543574937451454,-1.7033067144860892,1.9426930806349443,-0.38447639214804263,2.6624471129558955,1.7353099556441758,2.1806581404444927,1.5834178607134206,1.037190416375352,1.9903290746082527,0.9093245030704279,1.7414853202949392,2.294012929927881,1.587837471483071,1.357578661848586,0.7571045273527977,0.7458534561403284,-0.11377185547228033,-2.0923226786651985,-1.449803798150066,-1.547448620178726,-1.8668224689871857,-1.2476563066638227,-1.7821686014206448,-1.9976413569075224,-1.2643627570481246,-1.1325580136670532,1.311949123077058,-1.3974355248953256,0.6713974630232453,-1.7232242105930962,-0.45584330979579024,2.7692433263362726,3.019973050484489,2.1100243335162885,2.5356449001056585,1.4294016737892201,-1.6035259488974423
2000-06-06,1559,184.25,29.75,106.59,0.027,245.3599,4.16,1.5265,6.122,5.138,4.76,5.409,4.6279,6.1302,4.4116,5.527,4.96,5.895,1.716,0.483,2.283,105.86,121.331,535.51,308.9283,487.5423,116.4518,1016.26,904.13,830.49,32.6,139.1,196.46,983.03,234.24,1412.52,6.6225,6.492,5.908,5.985,23.05,288.75,0,2000,Normal,-0.4118592882914978,-1.0224526828141414,-1.3931734759468282,1.844783946710772,-0.05940228484859991,-1.688495832575331,2.034096970158791,-0.24606210840686538,2.4507146588188995,1.6773119685521816,2.0863527676840143,1.5511386997697536,0.9891328470550954,1.93991949448431,0.8730246254020118,1.6838476261641058,2.1947289933638596,1.5720070938948087,1.357578661848586,1.2698290806373422,0.8683361885653214,-0.1706182090570359,-2.135675699374473,-1.4432781370464323,-1.5368009695152816,-1.8421508391331893,-1.2366115666121278,-1.7524548055726756,-1.9546197714783198,-1.2096113342179173,-0.9609281788939735,1.4882970542900977,-1.3605242849102226,0.8819178163626241,-1.6942712491407816,-0.40934630864557814,2.7734851655011568,2.8696318895685424,1.9393691775477564,2.6673719684338852,1.3132192123903803,-1.569610170208307
2000-06-13,1569,187.57,32.56,106.4,-0.018,248.4237,4.33,1.5097,6.116,5.119,4.905,5.367,4.6355,6.1403,4.4306,5.514,5.053,5.871,1.716,0.448,2.176,106.77,121.331,538.48,311.4957,490.8803,115.9103,1020.87,905.03,845.69,31.59,137.78,197.81,975.17,234.61,1419.28,6.64875,6.481,5.949,5.907,21.67,287.15,0,2000,Normal,-0.40630205786650814,-0.969941961578852,-1.2707353725819752,1.8240340590549404,-0.19247409726516473,-1.678273584822818,2.1450874074377473,-0.3215608086293255,2.445713104784167,1.6666133107390952,2.1697325179905347,1.5264891586854992,0.994760543924648,1.9448244728971407,0.888116478261966,1.6739885469048843,2.2562850340335525,1.5508999237771273,1.357578661848586,1.1501933515376153,0.7258834454188625,-0.08581463239781062,-2.135675699374473,-1.4378186402921245,-1.5297355593906194,-1.827836139153589,-1.2415777102125536,-1.7454873285198205,-1.9523660213685246,-1.192441504900419,-1.0020054616240235,1.4200333389818245,-1.3572198967152698,0.8400481307035269,-1.6928429030424674,-0.3997252579025285,2.7883316025782534,2.8627124219113234,1.977395598171179,2.620880061965099,1.0319353584774,-1.5731338874747105
2000-06-20,1599,185.33,33.05,106.64,-0.105,249.9185,4.24,1.5133,6.02,5.112,4.853,5.367,4.7131,5.9847,4.5015,5.514,5.035,5.878,1.716,0.423,2.177,105.28,121.331,541.37,313.182,495.038,116.4198,1023.92,908.57,873.11,32.69,138.75,212.98,969.96,221.53,1425.88,6.6475,6.427,5.896,5.797,20.88,286.6,0,2000,Normal,-0.389630366591539,-1.0053708819303724,-1.2493849559809869,1.8502444434623064,-0.44974626793719,-1.6732862436319909,2.0863277641724176,-0.30538251572451236,2.3656882402284523,1.662671699965853,2.1398308144323344,1.5264891586854992,1.0522222909084984,1.8692586668539275,0.9444329186709528,1.6739885469048843,2.2443709616458705,1.5570561817281177,1.357578661848586,1.0647392593235243,0.7272147794669602,-0.22466884033434437,-2.135675699374473,-1.4325062006894478,-1.5250949108383032,-1.8100062325912205,-1.2369050413955327,-1.7408776094284517,-1.943501270936663,-1.161468036486879,-0.9572678269675337,1.4701968267462378,-1.3200883641838368,0.8122948148913268,-1.7433368678153038,-0.39033192433682895,2.787624629384106,2.828744126139519,1.9282394934628517,2.5553145528424523,0.8709105435562005,-1.5743451652850367
2000-06-27,1625,188.49,32.06,107.36,-0.109,249.6815,4.51,1.5031,6.085,5.244,4.984,5.448,4.7527,6.0606,4.551,5.641,5.15,5.934,1.716,0.509,2.219,105.43,121.331,541.69,313.0817,494.892,116.7691,1019.62,905.68,852.49,33.35,135.97,203.46,979.46,208.14,1402.53,6.665,6.494,5.933,5.807,21.8,284.55,0,2000,Normal,-0.3751815674865657,-0.9553907978630486,-1.2925215119707392,1.9288755966844056,-0.4615748734853291,-1.6740769847761077,2.2626066939684066,-0.351221012288149,2.4198717422713845,1.7369992174041369,2.21516010608857,1.5740275593479902,1.0815455535445873,1.9061188511642093,0.9837511669113597,1.7703041673603561,2.320488646344953,1.606306245336043,1.357578661848586,1.358701336539997,0.7831308094870654,-0.21069022879710886,-2.135675699374473,-1.431917972082923,-1.5253709335209795,-1.8106323399000945,-1.233701580712931,-1.7473765576556273,-1.9507383129558948,-1.1847602654689064,-0.9304252461736395,1.3264293051121463,-1.3433904201956524,0.8629006690594467,-1.7950275549948358,-0.4235643999063868,2.7975222541021703,2.870889974597128,1.9625560193913065,2.561275053671784,1.0584331128315212,-1.5788599280326165
2000-07-04,1610,187.3,32.5,107.29,-0.114,252.109,4.75,1.5153,5.989,5.269,5.01,5.476,4.6734,5.9713,4.4783,5.629,5.164,5.929,1.716,0.483,2.236,106.18,125.0795,543.2,314.5889,496.6051,115.8629,1028.54,910.98,895.56,32.96,136.71,212.67,1001.01,220.73,1421.65,6.64,6.294,5.867,5.895,19.83,286.85,0,2000,Normal,-0.3835174131240503,-0.9742124117997939,-1.273349709308627,1.921230901232258,-0.47636063042050303,-1.6659777268548253,2.419299076009286,-0.2963945752218385,2.3398468777156696,1.7510763987371454,2.23011095786767,1.590460586737493,1.0228249796293893,1.8627510717319542,0.9260049720209034,1.761203478813382,2.329755147090928,1.6019089182281927,1.357578661848586,1.2698290806373422,0.8057634883047275,-0.1407971711109339,-2.0819892777924722,-1.4291422683458843,-1.5212231629593644,-1.8032858711957644,-1.2420124197354718,-1.73389501854251,-1.9374662289759892,-1.1361086504225475,-0.9462867711882132,1.3646983576334517,-1.3208471496211964,0.9776960540408133,-1.7464251837035507,-0.39635219721302717,2.783382790219221,2.745081471738595,1.901342756924333,2.613727460969901,0.6568902199267587,-1.5737945844621613
