,MXUS,MXEU,MXJP,GT10,USGG2YR,VIX,DXY,XAUBGNL,Y
2000-01-11,1416.12,127.75,990.59,6.657,6.428,22.5,100.56,283.25,0
2000-01-12,1417.9299999999998,128.0,991.0742857142858,6.67,6.433285714285714,22.357142857142858,100.74571428571429,283.87857142857143,0
2000-01-13,1419.74,128.25,991.5585714285714,6.683,6.438571428571429,22.214285714285715,100.93142857142857,284.50714285714287,0
2000-01-14,1421.55,128.5,992.0428571428572,6.696,6.4438571428571425,22.071428571428573,101.11714285714285,285.1357142857143,0
2000-01-15,1423.36,128.75,992.5271428571428,6.7090000000000005,6.449142857142857,21.928571428571427,101.30285714285715,285.7642857142857,0
2000-01-16,1425.1699999999998,129.0,993.0114285714286,6.722,6.454428571428571,21.785714285714285,101.48857142857143,286.3928571428571,0
2000-01-17,1426.98,129.25,993.4957142857143,6.735,6.459714285714286,21.642857142857142,101.67428571428572,287.02142857142854,0
2000-01-18,1428.79,129.5,993.98,6.748,6.465,21.5,101.86,287.65,0
2000-01-19,1422.6671428571428,129.06857142857143,991.2442857142858,6.74,6.460285714285714,21.717142857142857,101.93857142857142,287.5785714285714,0
2000-01-20,1416.5442857142857,128.63714285714286,988.5085714285715,6.732,6.455571428571429,21.934285714285714,102.01714285714286,287.5071428571428,0
2000-01-21,1410.4214285714286,128.2057142857143,985.7728571428572,6.724,6.450857142857143,22.15142857142857,102.09571428571428,287.43571428571425,0
2000-01-22,1404.2985714285714,127.77428571428571,983.0371428571428,6.716,6.446142857142857,22.36857142857143,102.17428571428572,287.3642857142857,0
2000-01-23,1398.1757142857143,127.34285714285714,980.3014285714286,6.708,6.441428571428571,22.585714285714285,102.25285714285714,287.29285714285714,0
2000-01-24,1392.0528571428572,126.91142857142857,977.5657142857143,6.7,6.436714285714286,22.802857142857142,102.33142857142857,287.22142857142853,0
2000-01-25,1385.93,126.48,974.83,6.692,6.432,23.02,102.41,287.15,0
2000-01-26,1385.8414285714287,126.86714285714287,979.4428571428572,6.681571428571429,6.452285714285715,23.08142857142857,102.76857142857142,286.52142857142854,0
2000-01-27,1385.7528571428572,127.25428571428571,984.0557142857143,6.671142857142857,6.472571428571428,23.142857142857142,103.12714285714286,285.8928571428571,0
2000-01-28,1385.6642857142858,127.64142857142858,988.6685714285715,6.660714285714286,6.492857142857143,23.204285714285714,103.48571428571428,285.2642857142857,0
2000-01-29,1385.5757142857142,128.02857142857144,993.2814285714286,6.650285714285714,6.513142857142857,23.265714285714285,103.84428571428572,284.6357142857143,0
2000-01-30,1385.4871428571428,128.41571428571427,997.8942857142857,6.639857142857143,6.533428571428572,23.327142857142857,104.20285714285714,284.00714285714287,0
2000-01-31,1385.3985714285714,128.80285714285714,1002.5071428571429,6.629428571428571,6.553714285714285,23.388571428571428,104.56142857142858,283.37857142857143,0
2000-02-01,1385.31,129.19,1007.12,6.619,6.574,23.45,104.92,282.75,0
2000-02-02,1389.1157142857141,129.97285714285715,1011.0428571428571,6.618142857142857,6.588857142857143,23.135714285714286,104.82000000000001,284.98571428571427,0
2000-02-03,1392.9214285714286,130.75571428571428,1014.9657142857143,6.617285714285714,6.603714285714285,22.82142857142857,104.72,287.2214285714286,0
2000-02-04,1396.7271428571428,131.53857142857143,1018.8885714285714,6.616428571428571,6.618571428571428,22.507142857142856,104.62,289.45714285714286,0
2000-02-05,1400.5328571428572,132.32142857142856,1022.8114285714286,6.615571428571429,6.6334285714285715,22.192857142857143,104.52,291.6928571428571,0
2000-02-06,1404.3385714285714,133.1042857142857,1026.7342857142858,6.614714285714286,6.648285714285715,21.87857142857143,104.42,293.9285714285714,0
2000-02-07,1408.1442857142858,133.88714285714283,1030.6571428571428,6.613857142857143,6.663142857142857,21.564285714285713,104.32,296.1642857142857,0
2000-02-08,1411.95,134.67,1034.58,6.613,6.678,21.25,104.22,298.4,1
2000-02-09,1405.8814285714286,134.0885714285714,1030.762857142857,6.604285714285715,6.670857142857143,21.48857142857143,104.28714285714285,299.18571428571425,1
2000-02-10,1399.8128571428572,133.50714285714284,1026.9457142857143,6.595571428571429,6.663714285714286,21.72714285714286,104.35428571428571,299.97142857142853,1
2000-02-11,1393.7442857142858,132.92571428571426,1023.1285714285714,6.586857142857143,6.656571428571429,21.965714285714288,104.42142857142856,300.7571428571428,1
2000-02-12,1387.6757142857143,132.34428571428572,1019.3114285714286,6.578142857142857,6.6494285714285715,22.204285714285714,104.48857142857143,301.54285714285714,1
2000-02-13,1381.607142857143,131.76285714285714,1015.4942857142858,6.569428571428571,6.642285714285714,22.442857142857143,104.55571428571429,302.3285714285714,1
2000-02-14,1375.5385714285715,131.18142857142857,1011.6771428571428,6.560714285714285,6.635142857142857,22.681428571428572,104.62285714285714,303.1142857142857,1
2000-02-15,1369.47,130.6,1007.86,6.552,6.628,22.92,104.69,303.9,1
2000-02-16,1361.8214285714287,130.63571428571427,1004.9342857142857,6.5247142857142855,6.617,23.34,104.48857142857143,304.12857142857143,1
