Data,BDIY,CRY,Cl1,DXY,ECSURPUS,EMUSTRUU,EONIA,GBP,GT10,GTDEM10Y,GTDEM2Y,GTDEM30Y,GTGBP20Y,GTGBP2Y,GTGBP30Y,GTITL10YR,GTITL2YR,GTITL30YR,GTJPY10YR,GTJPY2YR,GTJPY30YR,JPY,LF94TRUU,LF98TRUU,LG30TRUU,LMBITR,LP01TREU,LUACTRUU,LUMSTRUU,MXBR,MXCN,MXEU,MXIN,MXJP,MXRU,MXUS,US0001M,USGG2YR,USGG30YR,USGG3M,VIX,XAUBGNL,Y,Year,period_type
2000-01-11,1388,157.26,25.77,100.56,0.077,230.5267,2.89,1.646,6.657,5.541,4.316,6.121,4.7695,6.5238,4.5345,5.777,4.495,6.321,1.709,0.346,2.422,105.86,123.7616,546.04,305.057,474.0453,116.4635,990.75,870.94,856.76,34.3,127.75,217.34,990.59,224.33,1416.12,5.78125,6.428,6.671,5.426,22.5,283.25,0,2000,Pre-Crisis
2000-01-18,1405,165.01,28.85,101.86,0.043,231.377,3.03,1.6383,6.748,5.644,4.321,6.254,4.9754,6.6125,4.7456,5.889,4.535,6.459,1.765,0.349,2.418,105.47,123.7616,545.68,305.3026,473.2232,117.2674,990.48,869.33,925.22,32.74,129.5,227.08,993.98,234.37,1428.79,5.8025,6.465,6.747,5.378,21.5,287.65,0,2000,Pre-Crisis
2000-01-25,1368,167.24,28.28,102.41,0.135,232.3895,3.15,1.6496,6.692,5.515,4.27,6.045,4.9003,6.5212,4.6912,5.76,4.511,6.281,1.625,0.293,2.259,106.04,123.7616,546.7,306.1812,472.7233,117.9946,997.68,873.5,886.93,32.46,126.48,233.0,974.83,216.82,1385.93,5.81875,6.432,6.634,5.562,23.02,287.15,0,2000,Pre-Crisis
2000-02-01,1311,166.85,28.22,104.92,0.191,231.9417,3.3,1.6106,6.619,5.459,4.326,5.944,4.7939,6.467,4.5925,5.71,4.54,6.188,1.77,0.364,2.33,107.85,122.3281,547.38,305.9967,473.2549,120.51,997.91,871.22,842.6,31.29,129.19,237.48,1007.12,201.89,1385.31,5.885,6.574,6.423,5.708,23.45,282.75,0,2000,Pre-Crisis
2000-02-08,1277,165.43,28.02,104.22,0.312,237.8117,3.26,1.6108,6.613,5.482,4.39,5.85,4.7678,6.4719,4.5475,5.728,4.638,6.118,1.919,0.359,2.481,109.3,122.3281,548.25,309.4761,474.7334,118.7914,998.77,872.39,945.15,31.32,134.67,258.02,1034.58,218.0,1411.95,5.89125,6.678,6.231,5.677,21.25,298.4,1,2000,Crisis
2000-02-15,1393,169.58,30.06,104.69,0.391,240.1163,3.25,1.5966,6.552,5.562,4.419,5.9,4.871,6.3758,4.6472,5.814,4.651,6.171,1.801,0.333,2.309,108.73,122.3281,548.17,310.577,475.1918,118.6077,997.72,873.35,885.56,27.66,130.6,288.98,1007.86,204.59,1369.47,5.88,6.628,6.246,5.74,22.92,303.9,1,2000,Crisis
2000-02-22,1481,168.86,29.62,103.28,0.497,240.1438,3.2,1.6166,6.361,5.415,4.434,5.735,4.6982,6.3603,4.4708,5.669,4.648,6.019,1.86,0.304,2.332,110.92,122.3281,549.29,311.0778,476.4975,118.3125,1009.07,878.81,866.46,27.95,130.85,315.21,987.38,206.14,1315.93,5.88,6.551,6.086,5.764,25.86,305.5,1,2000,Crisis
2000-02-29,1531,170.2,30.43,105.92,0.497,243.1049,3.34,1.5802,6.409,5.5,4.439,5.866,4.763,6.4095,4.5424,5.77,4.664,6.146,1.844,0.378,2.341,109.97,122.0019,547.99,312.0815,478.7462,119.9623,1004.66,879.57,874.47,26.2,135.71,275.1,1014.69,199.23,1333.28,5.9125,6.521,6.14,5.781,23.37,293.3,1,2000,Crisis
2000-03-07,1602,179.94,34.13,106.01,0.484,246.5223,3.28,1.5756,6.373,5.432,4.469,5.811,4.5634,6.2981,4.3289,5.705,4.683,6.1,1.792,0.423,2.174,106.1,122.0019,548.5,314.1491,479.7156,121.3944,1007.3,883.06,918.79,26.54,141.85,283.74,994.72,234.18,1319.95,5.95,6.486,6.145,5.834,24.31,292.0,0,2000,Post-Crisis
2000-03-14,1645,175.67,31.69,105.2,0.488,247.6609,3.52,1.5751,6.292,5.359,4.5,5.754,4.6501,6.3293,4.4152,5.636,4.681,6.042,1.814,0.43,2.289,104.84,122.0019,547.91,314.5884,481.5416,121.4544,1004.17,882.52,868.24,27.35,138.6,253.36,943.05,263.28,1324.43,6.00375,6.468,6.09,5.886,24.41,289.6,0,2000,Post-Crisis
