,Component,ExplainedVariance,TopFeatures
0,PC1,0.11758900743849478,"bond_equity_ratio_zscore, equity_avg_logret_26w, VIX"
1,PC2,0.07678903271289608,"LF98TRUU_st_lt_divergence, MXUS_st_lt_divergence, LG30TRUU_logret_1w"
2,PC3,0.05079298805066334,"USGG30YR_roc_1w, LUACTRUU_logret_1w, GT10_roc_1w"
3,PC4,0.04348821842941947,"LUMSTRUU_logret_104w, XAUBGNL_logret_104w, us_de_10y_spread"
4,PC5,0.0404702200763915,"US0001M, GTJPY2YR, EONIA"
5,PC6,0.0315287917039207,"GT10_ma_4_12_cross, USGG30YR_roc_26w, GT10_roc_12w"
6,PC7,0.02760746540049653,"de_slope_10y_2y, MXJP, MXCN"
7,PC8,0.02527708225078953,"uk_slope_20y_2y, equity_avg_accel_4w, US0001M"
8,PC9,0.020496208243163925,"CRY, em_dev_performance_ratio, DXY"
9,PC10,0.018376625320883362,"JPY_st_lt_divergence, LF94TRUU_st_lt_divergence, DXY_st_lt_divergence"
10,PC11,0.016630855814774796,
11,PC12,0.016067212833955662,
12,PC13,0.014749906952312744,
13,PC14,0.013207913957827383,
14,PC15,0.012892344961300437,
15,PC16,0.01217901663768575,
16,PC17,0.01111074283869775,
17,PC18,0.010604899088727426,
18,PC19,0.01028271682129177,
19,PC20,0.009963259590208879,
20,PC21,0.009145885981337532,
21,PC22,0.008707576343250235,
22,PC23,0.0083797478092082,
23,PC24,0.008139552666744517,
24,PC25,0.00788075215925279,
25,PC26,0.007559787759226311,
26,PC27,0.007304069075897857,
27,PC28,0.006983912385931333,
28,PC29,0.006607844734946366,
29,PC30,0.006433736136142647,
30,PC31,0.006349125538734745,
31,PC32,0.006162859472605702,
32,PC33,0.0060263581042802996,
33,PC34,0.005810022162532673,
34,PC35,0.005693666908717794,
35,PC36,0.0056007565261775635,
36,PC37,0.005451450709930619,
37,PC38,0.0054088033258436665,
38,PC39,0.005237312548095215,
39,PC40,0.005217650532149365,
40,PC41,0.0049180580021085055,
41,PC42,0.004814093872382061,
42,PC43,0.0047326303501601325,
43,PC44,0.004685845231486908,
44,PC45,0.004590446293721324,
45,PC46,0.00443025149728124,
46,PC47,0.004315636994201805,
47,PC48,0.004158555528404276,
48,PC49,0.004071440239725138,
49,PC50,0.003990741950461386,
50,PC51,0.0039028912536817673,
51,PC52,0.0038309326439304255,
52,PC53,0.0038196712630167683,
53,PC54,0.0036804458962466156,
54,PC55,0.0036127895938852807,
55,PC56,0.0034896250847279236,
56,PC57,0.003438234342702201,
57,PC58,0.003346751357511665,
58,PC59,0.0033077609511235726,
59,PC60,0.0032298212789764655,
60,PC61,0.0030965833798859144,
61,PC62,0.003011855423419716,
62,PC63,0.0029665602805778513,
63,PC64,0.0029572102979635124,
64,PC65,0.002847312968269627,
65,PC66,0.002803111676603736,
66,PC67,0.0026824085966301986,
67,PC68,0.0026361885092552008,
68,PC69,0.0025460305742236707,
69,PC70,0.002519851516318216,
70,PC71,0.0024870788523310653,
71,PC72,0.002409402351865036,
72,PC73,0.0023966077743375245,
73,PC74,0.002353995030543149,
74,PC75,0.0022842185582400945,
75,PC76,0.002233382840551577,
76,PC77,0.0022126956272400344,
77,PC78,0.002169469955704219,
78,PC79,0.0021256671506010446,
79,PC80,0.002104636864675404,
80,PC81,0.00208318019075182,
81,PC82,0.0020053586977981526,
82,PC83,0.0019872532478874294,
83,PC84,0.0019740357085662455,
84,PC85,0.0019303258368405885,
85,PC86,0.001907654791823932,
86,PC87,0.0018772553456768335,
87,PC88,0.0018269775856554673,
88,PC89,0.0017962405998892322,
89,PC90,0.0017773473688530257,
90,PC91,0.0017269121342391987,
91,PC92,0.001722671149003372,
92,PC93,0.0016847270682224373,
93,PC94,0.0016632863348518252,
94,PC95,0.0016456634646221041,
95,PC96,0.001627508211979475,
