Data,BDIY,CRY,Cl1,DXY,ECSURPUS,EMUSTRUU,EONIA,GBP,GT10,GTDEM10Y,GTDEM2Y,GTDEM30Y,GTGBP20Y,GTGBP2Y,GTGBP30Y,GTITL10YR,GTITL2YR,GTITL30YR,GTJPY10YR,GTJPY2YR,GTJPY30YR,JPY,LF94TRUU,LF98TRUU,LG30TRUU,LMBITR,LP01TREU,LUACTRUU,LUMSTRUU,MXBR,MXCN,MXEU,MXIN,MXJP,MXRU,MXUS,US0001M,USGG2YR,USGG30YR,USGG3M,VIX,XAUBGNL,Y,Year,Period
2000-02-01,1311,166.85,28.22,104.92,0.191,231.9417,3.3,1.6106,6.619,5.459,4.326,5.944,4.7939,6.467,4.5925,5.71,4.54,6.188,1.77,0.364,2.33,107.85,122.3281,547.38,305.9967,473.2549,120.51,997.91,871.22,842.6,31.29,129.19,237.48,1007.12,201.89,1385.31,5.885,6.574,6.423,5.708,23.45,282.75,0,2000,Pre-Crisis
2000-01-25,1368,167.24,28.28,102.41,0.135,232.3895,3.15,1.6496,6.692,5.515,4.27,6.045,4.9003,6.5212,4.6912,5.76,4.511,6.281,1.625,0.293,2.259,106.04,123.7616,546.7,306.1812,472.7233,117.9946,997.68,873.5,886.93,32.46,126.48,233.0,974.83,216.82,1385.93,5.81875,6.432,6.634,5.562,23.02,287.15,0,2000,Pre-Crisis
2000-01-18,1405,165.01,28.85,101.86,0.043,231.377,3.03,1.6383,6.748,5.644,4.321,6.254,4.9754,6.6125,4.7456,5.889,4.535,6.459,1.765,0.349,2.418,105.47,123.7616,545.68,305.3026,473.2232,117.2674,990.48,869.33,925.22,32.74,129.5,227.08,993.98,234.37,1428.79,5.8025,6.465,6.747,5.378,21.5,287.65,0,2000,Pre-Crisis
2000-01-11,1388,157.26,25.77,100.56,0.077,230.5267,2.89,1.646,6.657,5.541,4.316,6.121,4.7695,6.5238,4.5345,5.777,4.495,6.321,1.709,0.346,2.422,105.86,123.7616,546.04,305.057,474.0453,116.4635,990.75,870.94,856.76,34.3,127.75,217.34,990.59,224.33,1416.12,5.78125,6.428,6.671,5.426,22.5,283.25,0,2000,Pre-Crisis
2000-04-18,1670,167.54,26.11,106.63,0.506,245.6351,3.61,1.5787,6.059,5.253,4.429,5.609,4.7615,6.2862,4.5739,5.535,4.622,5.929,1.713,0.414,2.042,104.73,124.6394,537.47,309.8029,490.0599,120.1951,1010.63,896.09,782.6,29.59,132.97,219.97,967.7,235.12,1410.47,6.13,6.329,5.91,5.813,26.12,280.95,0,2000,Pre-Crisis
2000-04-11,1684,162.63,24.14,105.94,0.509,247.7315,3.58,1.5867,5.882,5.162,4.39,5.521,4.6412,6.2868,4.4507,5.443,4.583,5.843,1.742,0.414,2.077,107.04,124.6394,538.45,311.3576,491.4975,120.2116,1017.81,895.22,860.38,26.46,136.71,262.49,1028.54,259.18,1468.75,6.13,6.331,5.77,5.844,27.25,281.7,0,2000,Pre-Crisis
2000-04-04,1676,166.01,25.45,105.17,0.631,248.4286,3.75,1.6023,5.895,5.182,4.391,5.569,4.6626,6.3886,4.4666,5.482,4.585,5.869,1.782,0.439,2.205,104.66,124.6394,536.9,311.1474,489.2139,120.0604,1021.25,897.26,864.74,26.42,137.99,226.13,1039.55,267.67,1465.45,6.13125,6.308,5.773,5.876,27.12,287.4,0,2000,Pre-Crisis
2000-03-28,1627,170.05,27.09,105.53,0.572,250.9738,3.59,1.5875,6.151,5.278,4.465,5.62,4.7027,6.4345,4.4888,5.555,4.646,5.931,1.875,0.492,2.35,105.93,122.0019,544.41,315.1744,488.3621,121.0714,1008.69,883.36,914.4,27.33,142.68,259.64,1009.1,268.41,1474.82,6.13125,6.598,5.977,5.886,24.86,279.9,0,2000,Pre-Crisis
2000-09-05,1671,197.57,33.83,112.32,-0.377,265.0745,4.6,1.4524,5.689,5.209,5.148,5.367,4.8068,6.022,4.6058,5.578,5.331,5.83,1.955,0.655,2.645,105.86,122.3544,553.36,324.4519,511.3508,120.6935,1054.29,932.97,879.38,32.26,143.36,201.88,925.11,275.27,1442.61,6.62,6.078,5.667,6.238,19.82,275.65,0,2000,Pre-Crisis
2000-08-29,1641,193.48,32.74,112.2,-0.296,262.2165,4.73,1.4563,5.808,5.3,5.251,5.419,4.8516,6.0562,4.6593,5.668,5.422,5.876,1.89,0.61,2.558,106.21,124.0244,548.36,320.8043,511.1114,115.1309,1046.82,926.35,868.61,32.06,140.11,192.55,956.92,287.17,1450.16,6.62,6.256,5.747,6.309,16.89,272.6,0,2000,Pre-Crisis
2000-08-22,1627,188.32,31.22,111.79,-0.259,261.0801,4.27,1.4824,5.775,5.244,5.264,5.361,4.8374,6.0484,4.6412,5.588,5.462,5.793,1.805,0.52,2.45,108.3,124.0244,547.44,319.9679,509.4494,115.9413,1046.45,926.32,866.95,33.43,140.42,193.8,928.87,269.6,1435.93,6.62,6.26,5.712,6.279,17.47,273.65,0,2000,Pre-Crisis
2000-08-15,1634,186.64,31.67,110.51,-0.23,260.9918,4.35,1.5048,5.802,5.199,5.21,5.34,4.7728,6.03,4.5721,5.578,5.353,5.85,1.75,0.508,2.335,109.06,124.0244,547.07,320.1001,507.7661,116.1244,1045.94,925.35,900.34,33.08,140.05,182.66,927.15,273.28,1427.27,6.62,6.27,5.709,6.257,17.98,274.65,0,2000,Pre-Crisis
2000-11-07,1759,194.18,33.4,115.61,-0.15,254.4318,4.85,1.4348,5.866,5.238,5.06,5.62,4.7391,5.7069,4.5583,5.622,5.283,6.071,1.815,0.494,3.128,107.26,123.4046,524.84,307.034,514.1258,107.9444,1055.82,945.4,750.31,27.7,138.69,172.66,890.65,217.09,1368.83,6.62,5.974,5.894,6.414,24.91,264.45,0,2000,Pre-Crisis
