,Y
equity_avg_logret_26w,-0.4976863232867553
equity_avg_logret_12w,-0.44994689525573456
yield_avg_change_12w,-0.37727916834000597
equity_avg_logret_4w,-0.37219605694177
yield_avg_change_26w,-0.3666518592339481
yield_dispersion_26w,0.36210006574056464
yield_dispersion_12w,0.35089358447563457
yield_avg_change_4w,-0.3007658831065281
yield_dispersion_4w,0.2844222637443617
commcurr_dispersion_26w,0.2687451323769399
commcurr_avg_change_26w,-0.26123681065935794
commcurr_avg_change_12w,-0.2597491642375177
commcurr_dispersion_12w,0.25654645097699236
GTDEM2Y_st_lt_divergence,-0.2561409270599173
equity_dispersion_12w,0.2555709990417684
MXUS_st_lt_divergence,-0.25309819649241544
equity_dispersion_4w,0.2501422106382471
MXEU_st_lt_divergence,-0.2405409479101655
equity_dispersion_26w,0.21541372163439207
GTGBP2Y_st_lt_divergence,-0.21009386735757343
VIX_st_lt_divergence,0.20001300191060206
MXJP_st_lt_divergence,-0.19869607056005104
MXBR_st_lt_divergence,-0.1969121548807278
GTDEM10Y_st_lt_divergence,-0.1904511773744682
commcurr_dispersion_4w,0.17739207715488234
commcurr_avg_change_4w,-0.17662330951542
USGG2YR_st_lt_divergence,-0.1713766358401035
GT10_st_lt_divergence,-0.16759564361445078
EONIA_st_lt_divergence,-0.16416573379121252
Cl1_st_lt_divergence,-0.15727191606646784
GTDEM30Y_st_lt_divergence,-0.1559602096232019
CRY_st_lt_divergence,-0.15337076539603736
MXCN_st_lt_divergence,-0.14744083769808566
MXRU_st_lt_divergence,-0.1384193055651782
equity_avg_accel_26w,-0.13229674616420356
USGG30YR_st_lt_divergence,-0.13118887147166614
LUMSTRUU_st_lt_divergence,0.12806611366027026
MXIN_st_lt_divergence,-0.1273524185560809
GTGBP20Y_st_lt_divergence,-0.11542360654085018
GTJPY10YR_st_lt_divergence,-0.11333649769326529
GTGBP30Y_st_lt_divergence,-0.10817003561446367
equity_avg_accel_12w,-0.10324935370440304
LG30TRUU_st_lt_divergence,-0.0971469384777671
LF98TRUU_st_lt_divergence,-0.09523813001268588
JPY_st_lt_divergence,-0.087273685410882
LP01TREU_st_lt_divergence,-0.08422518729306507
GTJPY2YR_st_lt_divergence,-0.07570839733550845
equity_avg_accel_4w,-0.0749837104532513
GTITL2YR_st_lt_divergence,-0.07138472920998984
DXY_st_lt_divergence,0.06558998372731077
GBP_st_lt_divergence,-0.0648749195107364
LMBITR_st_lt_divergence,0.05294262410750959
GTJPY30YR_st_lt_divergence,-0.04649567715884318
US0001M_st_lt_divergence,-0.04556373917116129
LUACTRUU_st_lt_divergence,0.03948693637573645
EMUSTRUU_st_lt_divergence,-0.03501425754878688
MXEU_bearish_divergence,-0.03012901933719654
USGG3M_st_lt_divergence,-0.02921547715428434
XAUBGNL_st_lt_divergence,0.027756199137761114
BDIY_st_lt_divergence,-0.02662740429504934
GTITL30YR_st_lt_divergence,0.02230040188947641
MXUS_bearish_divergence,-0.021518668308853205
ECSURPUS_st_lt_divergence,0.020280032016253568
GTITL10YR_st_lt_divergence,0.01704970200984922
LF94TRUU_st_lt_divergence,-0.006351449901235128
MXJP_bearish_divergence,-0.006284447265770201
