indicator,min_value
BDIY,291.0
CRY,106.2929
Cl1,10.01
DXY,71.329
ECSURPUS,-0.974
EMUSTRUU,230.5267
EONIA,-0.498
GBP,1.1723
GT10,0.508
GTDEM10Y,-0.794
GTDEM2Y,-0.968
GTDEM30Y,-0.471
GTGBP20Y,0.4892
GTGBP2Y,-0.1633
GTGBP30Y,0.5474
GTITL10YR,0.512
GTITL2YR,-0.458
GTITL30YR,1.386
GTJPY10YR,-0.291
GTJPY2YR,-0.351
GTJPY30YR,0.056
JPY,75.94
LF94TRUU,121.331
LF98TRUU,491.08
LG30TRUU,294.3674
LMBITR,472.7233
LP01TREU,80.7968
LUACTRUU,986.94
LUMSTRUU,869.33
MXBR,280.5
MXCN,13.46
MXEU,56.3
MXIN,112.6
MXJP,431.71
MXRU,151.25
MXUS,663.69
US0001M,0.10575
USGG2YR,0.1073
USGG30YR,1.1626
USGG3M,-0.0381
VIX,9.43
XAUBGNL,256.68
