,Y
Y,1.0
VIX,0.5984320414603468
GTITL2YR,0.30452781463571177
GTITL10YR,0.2975726870916564
GTITL30YR,0.295000136782193
EONIA,0.1803111029593241
GTDEM30Y,0.14153734891676953
GTDEM10Y,0.13993269218430787
GTJPY10YR,0.13365987869915244
GTDEM2Y,0.1306065700370636
GTJPY30YR,0.11455496773739937
GTJPY2YR,0.11231384572226018
DXY,0.10322690689019484
GTGBP20Y,0.10012963695042307
GTGBP30Y,0.09977655709949192
GTGBP2Y,0.03500349234353133
USGG30YR,0.019259570585079575
US0001M,0.015375131577377157
GT10,-0.004776384684205651
XAUBGNL,-0.011535499189221223
USGG3M,-0.02592695911627611
USGG2YR,-0.03490934903704058
MXBR,-0.04342906254257863
Cl1,-0.07014133751450816
CRY,-0.07410177265804403
BDIY,-0.0834398831530248
ECSURPUS,-0.0907717450333189
GBP,-0.09316710918737645
LUMSTRUU,-0.10489740204622384
LMBITR,-0.143607236236
MXRU,-0.14884763664185433
MXCN,-0.14958107640456228
JPY,-0.1511970958146796
LUACTRUU,-0.1535440742846968
LF94TRUU,-0.1565501283828535
EMUSTRUU,-0.16947547874366245
MXIN,-0.18894248015860923
LF98TRUU,-0.18966086960506917
MXUS,-0.19392836553238985
LG30TRUU,-0.19723198552350235
LP01TREU,-0.20977369640207427
MXEU,-0.2538771052819367
MXJP,-0.27939917736379455
