,Y
GTDEM2Y_diff_accel_104w,-0.19452699442129406
GTGBP2Y_diff_accel_104w,-0.17155294982453964
MXEU_logret_accel_104w,-0.16409731704877265
MXUS_logret_accel_52w,-0.1601151640323186
LP01TREU_logret_accel_104w,-0.1533854126423237
MXUS_logret_accel_26w,-0.15262340237204092
MXEU_logret_accel_26w,-0.151081399952516
MXUS_logret_accel_104w,-0.15099378084107404
LF98TRUU_logret_accel_104w,-0.14794599906823114
LG30TRUU_logret_accel_104w,-0.14583379313270428
MXEU_logret_accel_52w,-0.14106419992766128
MXJP_logret_accel_104w,-0.13569284154536135
MXBR_logret_accel_104w,-0.13562426418066134
MXJP_logret_accel_26w,-0.13543884491793268
equity_avg_accel_26w,-0.13229674616420356
MXBR_logret_accel_52w,-0.1312600487365044
MXIN_logret_accel_52w,-0.13004085301109294
GTDEM2Y_diff_accel_26w,-0.12990583593895905
MXJP_logret_accel_52w,-0.1286575402847486
CRY_logret_accel_52w,-0.1271154758492849
LG30TRUU_logret_accel_52w,-0.12616916488982008
MXUS_logret_accel_12w,-0.12117856532817144
LF98TRUU_logret_accel_52w,-0.1200151654903625
GTGBP2Y_diff_accel_52w,-0.11910836522928321
USGG3M_diff_accel_104w,-0.11834671246201856
MXRU_logret_accel_52w,-0.11726797317141534
USGG2YR_logret_accel_104w,-0.11548885794469449
LP01TREU_logret_accel_52w,-0.11474737542956222
GTDEM2Y_diff_accel_52w,-0.11422602056022103
VIX_logret_accel_26w,0.10995763113210813
MXRU_logret_accel_104w,-0.10880240101609777
GT10_logret_accel_104w,-0.1076444265351313
US0001M_logret_accel_104w,-0.10685084355417872
BDIY_logret_accel_52w,-0.10489728547395762
MXEU_logret_accel_12w,-0.10404148543766151
equity_avg_accel_12w,-0.10324935370440304
Cl1_logret_accel_52w,-0.10221540465868527
MXUS_logret_accel_4w,-0.10176828010855175
GTGBP2Y_diff_accel_26w,-0.10085336258582286
MXCN_logret_accel_104w,-0.09973356471655416
GTDEM10Y_diff_accel_104w,-0.0986593151886833
MXCN_logret_accel_52w,-0.09823903851754608
CRY_logret_accel_104w,-0.09731852743845498
GT10_logret_accel_52w,-0.0948190406474611
LP01TREU_logret_accel_26w,-0.09147882605027663
MXBR_logret_accel_12w,-0.08981053256234414
CRY_logret_accel_26w,-0.08875659754641392
MXIN_logret_accel_104w,-0.08821249798839852
GTDEM10Y_diff_accel_26w,-0.08747679252378465
Cl1_logret_accel_26w,-0.087434536539193
LF98TRUU_logret_accel_26w,-0.08722817025127055
USGG30YR_logret_accel_52w,-0.08662880226382741
VIX_logret_accel_12w,0.08585392747017152
MXJP_logret_accel_12w,-0.08501925285143316
USGG30YR_logret_accel_104w,-0.08484219431116623
MXBR_logret_accel_26w,-0.08424668752574652
VIX_logret_accel_52w,0.08340098944137832
EMUSTRUU_logret_accel_104w,-0.08237659287526225
VIX_logret_accel_104w,0.0814475491262338
MXIN_logret_accel_12w,-0.08039845530120483
GT10_logret_accel_26w,-0.08007067242495168
MXRU_logret_accel_26w,-0.079812300520627
LG30TRUU_logret_accel_26w,-0.07963187906534934
MXCN_logret_accel_26w,-0.07934148079342836
MXIN_logret_accel_26w,-0.07825168268157032
USGG2YR_logret_accel_52w,-0.07669538376199969
Cl1_logret_accel_104w,-0.07662417306519258
equity_avg_accel_4w,-0.0749837104532513
LP01TREU_logret_accel_4w,-0.07479418710320868
JPY_logret_accel_104w,-0.07428633981148841
GTGBP2Y_diff_accel_12w,-0.07377377726724864
EMUSTRUU_logret_accel_52w,-0.07368415508131608
MXCN_logret_accel_12w,-0.07291842551723962
USGG2YR_logret_accel_12w,-0.07271471943041548
