,Y
MXUS_logret_26w,-0.5100054294401944
MXEU_logret_26w,-0.5097645053162234
equity_avg_logret_26w,-0.4976863232867553
MXEU_logret_12w,-0.47846628594109997
MXUS_logret_12w,-0.47635527801952265
MXIN_logret_52w,-0.46621178033778804
VIX_logret_104w,0.4582576903794142
MXEU_logret_52w,-0.4527789757257872
equity_avg_logret_12w,-0.44994689525573456
MXUS_logret_52w,-0.4424624537977331
MXBR_logret_26w,-0.44166082240130616
MXJP_logret_104w,-0.4376762391010577
MXJP_logret_52w,-0.4300428576221393
MXCN_logret_52w,-0.4185030125796663
MXJP_logret_26w,-0.4177247404407354
MXJP_logret_12w,-0.4125785691512968
MXBR_logret_52w,-0.39700635672610324
MXIN_logret_26w,-0.3956975675861919
MXIN_logret_104w,-0.3922179742428672
MXRU_logret_26w,-0.38904068510154394
MXUS_logret_4w,-0.38832319970029444
VIX_logret_52w,0.38625817489773523
MXBR_logret_12w,-0.3816144872476074
LP01TREU_logret_104w,-0.3797140235722162
MXCN_logret_26w,-0.37597250917055985
LP01TREU_logret_26w,-0.3730882189714792
equity_avg_logret_4w,-0.37219605694177
MXEU_logret_104w,-0.3721518120070362
MXUS_logret_104w,-0.37151762717789005
LUMSTRUU_logret_104w,0.3703692973147901
LP01TREU_logret_52w,-0.37020556747097316
USGG2YR_logret_104w,-0.3659386799969219
MXEU_logret_4w,-0.36546015844291607
LG30TRUU_logret_52w,-0.3638210022691294
VIX_logret_26w,0.35758064246125926
GT10_logret_104w,-0.355021490142261
LF98TRUU_logret_26w,-0.3531422990905543
LG30TRUU_logret_26w,-0.3512626150976447
LF98TRUU_logret_52w,-0.35108459027082833
USGG2YR_logret_26w,-0.3500172845722772
LG30TRUU_logret_104w,-0.3462755343922416
LUMSTRUU_logret_26w,0.3410409889237743
MXRU_logret_12w,-0.33644852713302376
MXCN_logret_12w,-0.3361084256069346
BDIY_logret_104w,-0.3302186709462264
USGG2YR_logret_12w,-0.32993004069678145
LF98TRUU_logret_104w,-0.3284849150225108
USGG2YR_logret_52w,-0.32774251266462257
USGG30YR_logret_104w,-0.326353230190853
VIX_logret_12w,0.3241719224148196
MXRU_logret_52w,-0.32360926434585696
LUMSTRUU_logret_52w,0.3210452268149356
GT10_logret_52w,-0.32083881051187924
GT10_logret_12w,-0.31893390927612886
MXJP_logret_4w,-0.3185783852899166
MXCN_logret_104w,-0.31296878533402134
BDIY_logret_52w,-0.3122913104983953
USGG30YR_logret_52w,-0.3106137899224116
GT10_logret_26w,-0.3104657409689965
MXBR_logret_4w,-0.3072607763774939
