,Y
vix_zscore_52w,0.4340850665590053
GTGBP2Y_zscore_52w,-0.3910316542646611
GTGBP2Y_zscore_1w,-0.3910316542646611
GTGBP2Y_zscore_104w,-0.3910316542646611
GTGBP2Y_zscore_26w,-0.3910316542646611
GTGBP2Y_zscore_12w,-0.3910316542646611
GTGBP2Y_zscore_4w,-0.3910316542646611
USGG3M_zscore_1w,-0.2923061110578859
USGG3M_zscore_104w,-0.2923061110578859
USGG3M_zscore_26w,-0.2923061110578859
USGG3M_zscore_12w,-0.2923061110578859
USGG3M_zscore_4w,-0.2923061110578859
USGG3M_zscore_52w,-0.2923061110578859
GTDEM2Y_zscore_26w,-0.24209619783860165
GTDEM2Y_zscore_52w,-0.24209619783860165
GTDEM2Y_zscore_1w,-0.24209619783860165
GTDEM2Y_zscore_4w,-0.24209619783860165
GTDEM2Y_zscore_104w,-0.24209619783860165
GTDEM2Y_zscore_12w,-0.24209619783860165
GTDEM10Y_zscore_12w,-0.21374207351745358
GTDEM10Y_zscore_1w,-0.21374207351745358
GTDEM10Y_zscore_26w,-0.21374207351745358
GTDEM10Y_zscore_52w,-0.21374207351745358
GTDEM10Y_zscore_104w,-0.21374207351745358
GTDEM10Y_zscore_4w,-0.21374207351745358
GTDEM30Y_zscore_104w,-0.18149964476549885
GTDEM30Y_zscore_12w,-0.18149964476549885
GTDEM30Y_zscore_52w,-0.18149964476549885
GTDEM30Y_zscore_1w,-0.18149964476549885
GTDEM30Y_zscore_4w,-0.18149964476549885
GTDEM30Y_zscore_26w,-0.18149964476549885
GTJPY2YR_zscore_1w,-0.18084806012410393
GTJPY2YR_zscore_12w,-0.18084806012410393
GTJPY2YR_zscore_4w,-0.18084806012410393
GTJPY2YR_zscore_26w,-0.18084806012410393
GTJPY2YR_zscore_104w,-0.18084806012410393
GTJPY2YR_zscore_52w,-0.18084806012410393
GTJPY10YR_zscore_26w,-0.16553740341528794
GTJPY10YR_zscore_104w,-0.16553740341528794
GTJPY10YR_zscore_52w,-0.16553740341528794
GTJPY10YR_zscore_1w,-0.16553740341528794
GTJPY10YR_zscore_12w,-0.16553740341528794
GTJPY10YR_zscore_4w,-0.16553740341528794
EONIA_zscore_12w,-0.13310855595019552
EONIA_zscore_104w,-0.13310855595019552
EONIA_zscore_4w,-0.13310855595019552
EONIA_zscore_26w,-0.13310855595019552
EONIA_zscore_1w,-0.13310855595019552
EONIA_zscore_52w,-0.13310855595019552
ECSURPUS_zscore_1w,-0.03873140682882806
ECSURPUS_zscore_104w,-0.03873140682882806
ECSURPUS_zscore_4w,-0.03873140682882806
ECSURPUS_zscore_26w,-0.03873140682882806
ECSURPUS_zscore_12w,-0.03873140682882806
ECSURPUS_zscore_52w,-0.03873140682882806
GTITL2YR_zscore_12w,0.03682862971575706
GTITL2YR_zscore_4w,0.03682862971575706
GTITL2YR_zscore_26w,0.03682862971575706
GTITL2YR_zscore_104w,0.03682862971575706
GTITL2YR_zscore_52w,0.03682862971575706
GTITL2YR_zscore_1w,0.03682862971575706
