,Y
vol_risk_premium,-0.09052737449506122
VIX_vol_52w,0.027905231822622736
MXIN_vol_ratio,0.037181359239496135
MXJP_vol_ratio,0.06997732679091043
MXCN_vol_ratio,0.07397398836149133
VIX_vol_26w,0.08329718569421585
VIX_vol_12w,0.10462583630390662
XAUBGNL_vol_ratio,0.1123530198011871
Cl1_vol_52w,0.11259003306000626
VIX_vol_4w,0.11658857404185151
GT10_vol_52w,0.12016738638425399
GT10_vol_ratio,0.12490573139434726
Cl1_vol_ratio,0.12661164747382578
eq_fx_vol_ratio,0.13910174102300166
eq_bond_vol_ratio,0.1401353829684413
DXY_vol_ratio,0.1435024645437672
MXRU_vol_ratio,0.15871254088646766
MXBR_vol_ratio,0.16173368976827082
MXJP_vol_4w,0.16654405985619578
eq_gold_vol_ratio,0.16745873767601335
MXJP_vol_12w,0.16806036240457978
XAUBGNL_vol_4w,0.17115105161976746
GT10_vol_26w,0.17367047312296288
Cl1_vol_12w,0.18579272435732308
GT10_vol_4w,0.18594309560452338
XAUBGNL_vol_52w,0.1870283465232233
Cl1_vol_26w,0.19091341059105593
Cl1_vol_4w,0.20000456961103452
GT10_vol_12w,0.2044626177843191
DXY_vol_52w,0.20695570392927512
XAUBGNL_vol_12w,0.21304581456960994
XAUBGNL_vol_26w,0.2199581987568765
MXBR_vol_52w,0.22507093950775162
MXIN_vol_4w,0.22845012242041587
MXUS_vol_ratio,0.24880289941070385
MXJP_vol_52w,0.25128018180434963
MXEU_vol_ratio,0.25218556191589603
MXJP_vol_26w,0.26001463138426
DXY_vol_4w,0.2614882925447421
MXIN_vol_12w,0.2660058170473255
MXBR_vol_4w,0.27556924579512504
DXY_vol_26w,0.2781730254039214
MXRU_vol_52w,0.28020633659338623
MXCN_vol_4w,0.2943018620709069
MXIN_vol_26w,0.29495875408755634
MXEU_vol_52w,0.3045828792143599
MXRU_vol_4w,0.30658359201232777
MXIN_vol_52w,0.30970895356148986
DXY_vol_12w,0.3159640791074456
MXBR_vol_12w,0.32355087811922245
MXUS_vol_52w,0.326337736782093
MXBR_vol_26w,0.33189811807240815
MXRU_vol_12w,0.33307923292948144
MXCN_vol_12w,0.3338116658750585
MXRU_vol_26w,0.3407331321446744
MXCN_vol_26w,0.35083586046249154
MXCN_vol_52w,0.3586792714440972
MXEU_vol_26w,0.3933799496463537
vix_percentile_52w,0.39870379831440694
MXEU_vol_4w,0.40755599238386525
MXUS_vol_26w,0.4226377780491406
realized_vol_4w,0.42822942807250386
MXUS_vol_4w,0.42822942807250386
vix_zscore_52w,0.4340850665590053
MXEU_vol_12w,0.4399416904298812
MXUS_vol_12w,0.4772021314237269
Y,1.0
