,Y
us_de_10y_spread,-0.3115168268892748
it_slope_30y_2y,-0.1546419581964844
it_slope_10y_2y,-0.110973006799427
de_curvature,-0.044869187127503284
us_curvature,-0.03738340357490234
us_slope_2y_3m,-0.03186583537329039
de_slope_30y_2y,0.009331688108101885
de_slope_10y_2y,0.024188602949614765
us_slope_10y_3m,0.0347768824050374
uk_slope_30y_2y,0.03575697477471937
uk_slope_20y_2y,0.047649096056310035
us_slope_10y_2y,0.05908259634857535
us_slope_30y_2y,0.06805384419213623
us_slope_10y_2y_zscore,0.08817719066186676
jp_slope_30y_2y,0.09192418538816313
jp_slope_10y_2y,0.1221039813539094
it_de_10y_spread,0.16329361219153055
de_slope_10y_2y_zscore,0.17004153313906717
it_de_10y_spread_zscore,0.25881445603399705
Y,1.0
